,incident_number,address,incident_type,datetime,latitude,longitude,color,icon,marker_text,neighborhood
113,F220107349,7709 30th Ave Ne,Aid Response,2022-09-04 14:43:00,47.684911,-122.29594,red,ambulance,<p>Incident: F220107349</p><p>Date: 2022-09-04</p><p>Time: 14:43:00</p><p>Type: Aid Response</p>,Harrison - Denny-Blaine
114,F220107350,7923 M L King Jr Way S,Aid Response,2022-09-04 14:44:00,47.530795,-122.280778,red,ambulance,<p>Incident: F220107350</p><p>Date: 2022-09-04</p><p>Time: 14:44:00</p><p>Type: Aid Response</p>,Wedgwood
115,F220107351,1400 3rd Ave,Aid Response,2022-09-04 14:45:00,47.608756,-122.336885,red,ambulance,<p>Incident: F220107351</p><p>Date: 2022-09-04</p><p>Time: 14:45:00</p><p>Type: Aid Response</p>,South Beacon Hill
116,F220107354,150 Denny Way,Aid Response,2022-09-04 14:54:00,47.618597,-122.354147,red,ambulance,<p>Incident: F220107354</p><p>Date: 2022-09-04</p><p>Time: 14:54:00</p><p>Type: Aid Response</p>,Central Business District
117,F220107355,1901 Western Ave,Auto Fire Alarm,2022-09-04 14:53:00,47.610056,-122.34329,orange,fire,<p>Incident: F220107355</p><p>Date: 2022-09-04</p><p>Time: 14:53:00</p><p>Type: Auto Fire Alarm</p>,Belltown
118,F220107357,15th Ave Nw / Nw 53rd St,Medic Response,2022-09-04 14:57:00,47.667162,-122.376217,red,ambulance,<p>Incident: F220107357</p><p>Date: 2022-09-04</p><p>Time: 14:57:00</p><p>Type: Medic Response</p>,Pike-Market
119,F220107358,Fairmount Ave Sw / Harbor Ave Sw,Aid Response,2022-09-04 14:57:00,47.587081,-122.378116,red,ambulance,<p>Incident: F220107358</p><p>Date: 2022-09-04</p><p>Time: 14:57:00</p><p>Type: Aid Response</p>,Adams
120,F220107359,1727 Harbor Ave Sw,Aid Response,2022-09-04 14:59:00,47.588474,-122.380078,red,ambulance,<p>Incident: F220107359</p><p>Date: 2022-09-04</p><p>Time: 14:59:00</p><p>Type: Aid Response</p>,Industrial District
121,F220107360,6561 Phinney Ave N,Low Acuity Response,2022-09-04 15:00:00,47.677068,-122.354359,purple,asterisk,<p>Incident: F220107360</p><p>Date: 2022-09-04</p><p>Time: 15:00:00</p><p>Type: Low Acuity Response</p>,Industrial District
122,F220107362,9701 15th Ave Nw,Aid Response,2022-09-04 15:06:00,47.699625,-122.376781,red,ambulance,<p>Incident: F220107362</p><p>Date: 2022-09-04</p><p>Time: 15:06:00</p><p>Type: Aid Response</p>,Phinney Ridge
123,F220107363,1802 17th Ave,Medic Response,2022-09-04 15:07:00,47.61762,-122.310139,red,ambulance,<p>Incident: F220107363</p><p>Date: 2022-09-04</p><p>Time: 15:07:00</p><p>Type: Medic Response</p>,Crown Hill
124,F220107364,1250 1st Ave S,EVENT - Special Event,2022-09-04 15:08:00,47.592049,-122.334195,purple,asterisk,<p>Incident: F220107364</p><p>Date: 2022-09-04</p><p>Time: 15:08:00</p><p>Type: EVENT - Special Event</p>,Stevens
125,F220107365,2316 Magnolia Blvd W,Investigate Out Of Service,2022-09-04 15:13:00,47.637988,-122.40833,purple,asterisk,<p>Incident: F220107365</p><p>Date: 2022-09-04</p><p>Time: 15:13:00</p><p>Type: Investigate Out Of Service</p>,Industrial District
126,F220107366,3820 Rainier Ave S,Aid Response,2022-09-04 15:18:00,47.569608,-122.290486,red,ambulance,<p>Incident: F220107366</p><p>Date: 2022-09-04</p><p>Time: 15:18:00</p><p>Type: Aid Response</p>,Briarcliff
127,F220107367,1519 E Spring St,Nurseline/AMR,2022-09-04 15:20:00,47.611546,-122.31255,green,user-md,<p>Incident: F220107367</p><p>Date: 2022-09-04</p><p>Time: 15:20:00</p><p>Type: Nurseline/AMR</p>,Mount Baker
128,F220107368,3501 Rainier Ave S,Aid Response,2022-09-04 15:25:00,47.571853,-122.293193,red,ambulance,<p>Incident: F220107368</p><p>Date: 2022-09-04</p><p>Time: 15:25:00</p><p>Type: Aid Response</p>,Minor
129,F220107369,12th Ave S / S Jackson St,Aid Response,2022-09-04 15:28:00,47.599187,-122.317225,red,ambulance,<p>Incident: F220107369</p><p>Date: 2022-09-04</p><p>Time: 15:28:00</p><p>Type: Aid Response</p>,Columbia City
130,F220107370,1118 13th Ave,Illegal Burn,2022-09-04 15:30:00,47.611634,-122.315436,orange,fire-extinguisher,<p>Incident: F220107370</p><p>Date: 2022-09-04</p><p>Time: 15:30:00</p><p>Type: Illegal Burn</p>,International District
131,F220107371,Brooklyn Ave Ne / Ne 45th St,Aid Response,2022-09-04 15:32:00,47.661277,-122.314286,red,ambulance,<p>Incident: F220107371</p><p>Date: 2022-09-04</p><p>Time: 15:32:00</p><p>Type: Aid Response</p>,Minor
132,F220107372,1911 Federal Ave E,Aid Response,2022-09-04 15:35:00,47.636054,-122.319034,red,ambulance,<p>Incident: F220107372</p><p>Date: 2022-09-04</p><p>Time: 15:35:00</p><p>Type: Aid Response</p>,University District
133,F220107374,6550 16th Ave Ne,Aid Response,2022-09-04 15:38:00,47.676081,-122.310864,red,ambulance,<p>Incident: F220107374</p><p>Date: 2022-09-04</p><p>Time: 15:38:00</p><p>Type: Aid Response</p>,Montlake
134,F220107375,9610 29th Ave Nw,Medic Response,2022-09-04 15:42:00,47.699239,-122.394098,red,ambulance,<p>Incident: F220107375</p><p>Date: 2022-09-04</p><p>Time: 15:42:00</p><p>Type: Medic Response</p>,Ravenna
135,F220107380,312 Nw 85th St,Aid Response,2022-09-04 16:04:00,47.690626,-122.360747,red,ambulance,<p>Incident: F220107380</p><p>Date: 2022-09-04</p><p>Time: 16:04:00</p><p>Type: Aid Response</p>,North Beach - Blue Ridge
136,F220107381,Meridian Ave N / N 115th St,Aid Response,2022-09-04 16:09:00,47.712291,-122.334056,red,ambulance,<p>Incident: F220107381</p><p>Date: 2022-09-04</p><p>Time: 16:09:00</p><p>Type: Aid Response</p>,Greenwood
137,F220107383,N 113th St / Corliss Ave N,Aid Response,2022-09-04 16:21:00,47.710462,-122.331351,red,ambulance,<p>Incident: F220107383</p><p>Date: 2022-09-04</p><p>Time: 16:21:00</p><p>Type: Aid Response</p>,Haller Lake
138,F220107384,3rd Ave / Pike St,Aid Response,2022-09-04 16:30:00,47.60975,-122.337793,red,ambulance,<p>Incident: F220107384</p><p>Date: 2022-09-04</p><p>Time: 16:30:00</p><p>Type: Aid Response</p>,Haller Lake
139,F220107387,5033 37th Ave S,Medic Response,2022-09-04 16:34:00,47.556785,-122.286143,red,ambulance,<p>Incident: F220107387</p><p>Date: 2022-09-04</p><p>Time: 16:34:00</p><p>Type: Medic Response</p>,Central Business District
140,F220107389,1701 18th Ave S,Aid Response,2022-09-04 16:38:00,47.588414,-122.309467,red,ambulance,<p>Incident: F220107389</p><p>Date: 2022-09-04</p><p>Time: 16:38:00</p><p>Type: Aid Response</p>,Columbia City
141,F220107390,15th Ave S / Beacon Ave S,MVI - Motor Vehicle Incident,2022-09-04 16:41:00,47.580593,-122.313412,green,car,<p>Incident: F220107390</p><p>Date: 2022-09-04</p><p>Time: 16:41:00</p><p>Type: MVI - Motor Vehicle Incident</p>,North Beacon Hill
142,F220107391,2802 E Union St,Aid Response,2022-09-04 16:44:00,47.612942,-122.296172,red,ambulance,<p>Incident: F220107391</p><p>Date: 2022-09-04</p><p>Time: 16:44:00</p><p>Type: Aid Response</p>,North Beacon Hill
143,F220107392,6951 62nd Ave Ne,Rescue Elevator,2022-09-04 16:45:00,47.6789,-122.262228,green,building,<p>Incident: F220107392</p><p>Date: 2022-09-04</p><p>Time: 16:45:00</p><p>Type: Rescue Elevator</p>,Mann
144,F220107393,Nw 45th St / Leary Way Nw,MVI - Motor Vehicle Incident,2022-09-04 16:48:00,47.661465,-122.367159,green,car,<p>Incident: F220107393</p><p>Date: 2022-09-04</p><p>Time: 16:48:00</p><p>Type: MVI - Motor Vehicle Incident</p>,Sand Point
145,F220107394,8844 Delridge Way Sw,Medic Response- 7 per Rule,2022-09-04 16:50:00,47.523596,-122.360488,purple,asterisk,<p>Incident: F220107394</p><p>Date: 2022-09-04</p><p>Time: 16:50:00</p><p>Type: Medic Response- 7 per Rule</p>,West Woodland
146,F220107395,225 12th Ave S,Triaged Incident,2022-09-04 16:51:00,47.600561,-122.317259,red,plus-square,<p>Incident: F220107395</p><p>Date: 2022-09-04</p><p>Time: 16:51:00</p><p>Type: Triaged Incident</p>,South Delridge
147,F220107396,6961 37th Ave S,Aid Response,2022-09-04 16:55:00,47.540107,-122.28623,red,ambulance,<p>Incident: F220107396</p><p>Date: 2022-09-04</p><p>Time: 16:55:00</p><p>Type: Aid Response</p>,Yesler Terrace
148,F220107397,2701 E Cherry St,Aid Response,2022-09-04 16:56:00,47.608,-122.297838,red,ambulance,<p>Incident: F220107397</p><p>Date: 2022-09-04</p><p>Time: 16:56:00</p><p>Type: Aid Response</p>,Holly Park
149,F220107398,8741 Seward Park Ave S,Aid Response,2022-09-04 16:58:00,47.524454,-122.264633,red,ambulance,<p>Incident: F220107398</p><p>Date: 2022-09-04</p><p>Time: 16:58:00</p><p>Type: Aid Response</p>,Mann
150,F220107399,N 115th St / Aurora Ave N,Encampment Fire,2022-09-04 17:00:00,47.712319,-122.344814,purple,asterisk,<p>Incident: F220107399</p><p>Date: 2022-09-04</p><p>Time: 17:00:00</p><p>Type: Encampment Fire</p>,Dunlap
151,F220107400,4301 Sw Mills St,Aid Response,2022-09-04 17:02:00,47.541485,-122.387252,red,ambulance,<p>Incident: F220107400</p><p>Date: 2022-09-04</p><p>Time: 17:02:00</p><p>Type: Aid Response</p>,Bitter Lake
152,F220107401,202 19th Ave E,Aid Response,2022-09-04 17:04:00,47.619673,-122.307364,red,ambulance,<p>Incident: F220107401</p><p>Date: 2022-09-04</p><p>Time: 17:04:00</p><p>Type: Aid Response</p>,Gatewood
153,F220107404,9258 Rainier Ave S,Aid Response,2022-09-04 17:07:00,47.519854,-122.268475,red,ambulance,<p>Incident: F220107404</p><p>Date: 2022-09-04</p><p>Time: 17:07:00</p><p>Type: Aid Response</p>,Stevens
154,F220107406,2615 1st Ave,Food On The Stove,2022-09-04 17:12:00,47.615328,-122.349815,purple,asterisk,<p>Incident: F220107406</p><p>Date: 2022-09-04</p><p>Time: 17:12:00</p><p>Type: Food On The Stove</p>,Dunlap
155,F220107407,3rd Ave / Pike St,Medic Response,2022-09-04 17:15:00,47.60975,-122.337793,red,ambulance,<p>Incident: F220107407</p><p>Date: 2022-09-04</p><p>Time: 17:15:00</p><p>Type: Medic Response</p>,Belltown
156,F220107412,6825 Weedin Pl Ne,Rescue Lock In/Out,2022-09-04 17:24:00,47.678235,-122.321553,purple,asterisk,<p>Incident: F220107412</p><p>Date: 2022-09-04</p><p>Time: 17:24:00</p><p>Type: Rescue Lock In/Out</p>,Central Business District
157,F220107413,14396 30th Ave Ne,Auto Fire Alarm,2022-09-04 17:27:00,47.732881,-122.296531,orange,fire,<p>Incident: F220107413</p><p>Date: 2022-09-04</p><p>Time: 17:27:00</p><p>Type: Auto Fire Alarm</p>,Green Lake
158,F220107414,2132 N Northgate Way,Aid Response,2022-09-04 17:34:00,47.70866,-122.333564,red,ambulance,<p>Incident: F220107414</p><p>Date: 2022-09-04</p><p>Time: 17:34:00</p><p>Type: Aid Response</p>,Olympic Hills
159,F220107416,Linden Ave N / N 79th St,MVI - Motor Vehicle Incident,2022-09-04 17:45:00,47.686222,-122.347215,green,car,<p>Incident: F220107416</p><p>Date: 2022-09-04</p><p>Time: 17:45:00</p><p>Type: MVI - Motor Vehicle Incident</p>,North College Park
160,F220107451,8624 44th Ave S,Medic Response,2022-09-04 19:31:00,47.525893,-122.278058,red,ambulance,<p>Incident: F220107451</p><p>Date: 2022-09-04</p><p>Time: 19:31:00</p><p>Type: Medic Response</p>,Greenwood
161,F220107455,500 5th Ave,Aid Response,2022-09-04 19:44:00,47.602985,-122.328535,red,ambulance,<p>Incident: F220107455</p><p>Date: 2022-09-04</p><p>Time: 19:44:00</p><p>Type: Aid Response</p>,Dunlap
162,F220107471,545 NE 112TH ST,Low Acuity Response,2022-09-04 20:44:00,47.709995,-122.322799,purple,asterisk,<p>Incident: F220107471</p><p>Date: 2022-09-04</p><p>Time: 20:44:00</p><p>Type: Low Acuity Response</p>,Pioneer Square
163,F220107473,12039 15th Ave Ne,Aid Response,2022-09-04 20:49:00,47.716021,-122.312564,red,ambulance,<p>Incident: F220107473</p><p>Date: 2022-09-04</p><p>Time: 20:49:00</p><p>Type: Aid Response</p>,Pinehurst
164,F220107476,Dexter Ave N / Denny Way,MVI - Motor Vehicle Incident,2022-09-04 20:53:00,47.61855,-122.342402,green,car,<p>Incident: F220107476</p><p>Date: 2022-09-04</p><p>Time: 20:53:00</p><p>Type: MVI - Motor Vehicle Incident</p>,Victory Heights
165,F220107477,3501 Rainier Ave S,Auto Fire Alarm,2022-09-04 20:55:00,47.571853,-122.293193,orange,fire,<p>Incident: F220107477</p><p>Date: 2022-09-04</p><p>Time: 20:55:00</p><p>Type: Auto Fire Alarm</p>,South Lake Union
166,F220107479,419 6th Ave S,Medic Response- 7 per Rule,2022-09-04 20:57:00,47.59903,-122.326362,purple,asterisk,<p>Incident: F220107479</p><p>Date: 2022-09-04</p><p>Time: 20:57:00</p><p>Type: Medic Response- 7 per Rule</p>,Columbia City
167,F220107480,1401 Broadway,Medic Response,2022-09-04 21:01:00,47.612963,-122.320762,red,ambulance,<p>Incident: F220107480</p><p>Date: 2022-09-04</p><p>Time: 21:01:00</p><p>Type: Medic Response</p>,International District
168,F220107481,5417 Fauntleroy Way Sw,Aid Response,2022-09-04 21:03:00,47.553668,-122.381594,red,ambulance,<p>Incident: F220107481</p><p>Date: 2022-09-04</p><p>Time: 21:03:00</p><p>Type: Aid Response</p>,First Hill
169,F220107482,1000 Minor Ave,Auto Fire Alarm,2022-09-04 21:06:00,47.609802,-122.324029,orange,fire,<p>Incident: F220107482</p><p>Date: 2022-09-04</p><p>Time: 21:06:00</p><p>Type: Auto Fire Alarm</p>,Fairmount Park
170,F220107483,3601 26th Pl W,Aid Response Yellow,2022-09-04 21:07:00,47.652146,-122.388793,green,ambulance,<p>Incident: F220107483</p><p>Date: 2022-09-04</p><p>Time: 21:07:00</p><p>Type: Aid Response Yellow</p>,First Hill
171,F220107484,5540 S Morgan St,Automatic Fire Alarm Resd,2022-09-04 21:10:00,47.544262,-122.263673,red,fire,<p>Incident: F220107484</p><p>Date: 2022-09-04</p><p>Time: 21:10:00</p><p>Type: Automatic Fire Alarm Resd</p>,Lawton Park
172,F220107485,2638 E Ward St,4RED - 2 + 1 + 1,2022-09-04 21:12:00,47.627403,-122.298273,purple,asterisk,<p>Incident: F220107485</p><p>Date: 2022-09-04</p><p>Time: 21:12:00</p><p>Type: 4RED - 2 + 1 + 1</p>,Seward Park
173,F220107487,5606 S Augusta St,Medic Response,2022-09-04 21:14:00,47.500195,-122.262388,red,ambulance,<p>Incident: F220107487</p><p>Date: 2022-09-04</p><p>Time: 21:14:00</p><p>Type: Medic Response</p>,Stevens
174,F220107488,4203 Sw Hill St,Alarm Bell,2022-09-04 21:14:00,47.585357,-122.385259,purple,asterisk,<p>Incident: F220107488</p><p>Date: 2022-09-04</p><p>Time: 21:14:00</p><p>Type: Alarm Bell</p>,Rainier View
175,F220107489,5351 S Wallace St,Aid Response,2022-09-04 21:14:00,47.497468,-122.266889,red,ambulance,<p>Incident: F220107489</p><p>Date: 2022-09-04</p><p>Time: 21:14:00</p><p>Type: Aid Response</p>,North Admiral
176,F220107490,1415 5th Ave,Medic Response,2022-09-04 21:15:00,47.609827,-122.334796,red,ambulance,<p>Incident: F220107490</p><p>Date: 2022-09-04</p><p>Time: 21:15:00</p><p>Type: Medic Response</p>,Rainier View
177,F220107491,16th Ave S / S King St,Aid Response,2022-09-04 21:20:00,47.598328,-122.31158,red,ambulance,<p>Incident: F220107491</p><p>Date: 2022-09-04</p><p>Time: 21:20:00</p><p>Type: Aid Response</p>,Central Business District
178,F220107492,6015 39th Ave S,Medic Response- 7 per Rule,2022-09-04 21:28:00,47.548651,-122.28339,purple,asterisk,<p>Incident: F220107492</p><p>Date: 2022-09-04</p><p>Time: 21:28:00</p><p>Type: Medic Response- 7 per Rule</p>,Atlantic
179,F220107493,Ne 130th St / 35th Ave Ne,Aid Response,2022-09-04 21:29:00,47.722639,-122.290831,red,ambulance,<p>Incident: F220107493</p><p>Date: 2022-09-04</p><p>Time: 21:29:00</p><p>Type: Aid Response</p>,Columbia City
180,F220107494,6th Ave S / S Holgate St,MVI - Motor Vehicle Incident,2022-09-04 21:33:00,47.586175,-122.325975,green,car,<p>Incident: F220107494</p><p>Date: 2022-09-04</p><p>Time: 21:33:00</p><p>Type: MVI - Motor Vehicle Incident</p>,Cedar Park
181,F220107495,1526 Magnolia Blvd W,Medic Response,2022-09-04 21:33:00,47.635393,-122.399821,red,ambulance,<p>Incident: F220107495</p><p>Date: 2022-09-04</p><p>Time: 21:33:00</p><p>Type: Medic Response</p>,Industrial District
182,F220107496,506 N 100th St,Alarm Bell,2022-09-04 21:35:00,47.701453,-122.352638,purple,asterisk,<p>Incident: F220107496</p><p>Date: 2022-09-04</p><p>Time: 21:35:00</p><p>Type: Alarm Bell</p>,Briarcliff
183,F220107497,1428 32nd Ave,Aid Response Yellow,2022-09-04 21:40:00,47.613236,-122.291405,green,ambulance,<p>Incident: F220107497</p><p>Date: 2022-09-04</p><p>Time: 21:40:00</p><p>Type: Aid Response Yellow</p>,Greenwood
184,F220107498,500 W Olympic Pl,Aid Response,2022-09-04 21:41:00,47.62674,-122.363217,red,ambulance,<p>Incident: F220107498</p><p>Date: 2022-09-04</p><p>Time: 21:41:00</p><p>Type: Aid Response</p>,Madrona
185,F220107499,504 5th Ave S,Aid Response,2022-09-04 21:43:00,47.598322,-122.327671,red,ambulance,<p>Incident: F220107499</p><p>Date: 2022-09-04</p><p>Time: 21:43:00</p><p>Type: Aid Response</p>,Lower Queen Anne
186,F220107500,4446 46th Ave Sw,Automatic Fire Alarm Resd,2022-09-04 21:48:00,47.563911,-122.390833,red,fire,<p>Incident: F220107500</p><p>Date: 2022-09-04</p><p>Time: 21:48:00</p><p>Type: Automatic Fire Alarm Resd</p>,International District
187,F220107501,526 14th Ave E,Poison Control,2022-09-04 21:52:00,47.623403,-122.314649,purple,asterisk,<p>Incident: F220107501</p><p>Date: 2022-09-04</p><p>Time: 21:52:00</p><p>Type: Poison Control</p>,Genesee
188,F220107502,3001 S Myrtle St,Aid Response,2022-09-04 21:55:00,47.538902,-122.293225,red,ambulance,<p>Incident: F220107502</p><p>Date: 2022-09-04</p><p>Time: 21:55:00</p><p>Type: Aid Response</p>,Broadway
189,F220107503,12002 Roosevelt Way Ne,Aid Response,2022-09-04 22:03:00,47.71583,-122.318021,red,ambulance,<p>Incident: F220107503</p><p>Date: 2022-09-04</p><p>Time: 22:03:00</p><p>Type: Aid Response</p>,South Beacon Hill
190,F220107504,3462 Walnut Ave Sw,Aid Response,2022-09-04 22:03:00,47.572757,-122.383579,red,ambulance,<p>Incident: F220107504</p><p>Date: 2022-09-04</p><p>Time: 22:03:00</p><p>Type: Aid Response</p>,Pinehurst
191,F220107505,800 4th Ave N,Aid Response,2022-09-04 22:08:00,47.626286,-122.348863,red,ambulance,<p>Incident: F220107505</p><p>Date: 2022-09-04</p><p>Time: 22:08:00</p><p>Type: Aid Response</p>,North Admiral
192,F220107507,12546 33rd Ave Ne,Low Acuity Response,2022-09-04 22:17:00,47.719585,-122.292729,purple,asterisk,<p>Incident: F220107507</p><p>Date: 2022-09-04</p><p>Time: 22:17:00</p><p>Type: Low Acuity Response</p>,Lower Queen Anne
193,F220107508,11616 Aurora Ave N,Aid Response,2022-09-04 22:23:00,47.713757,-122.344836,red,ambulance,<p>Incident: F220107508</p><p>Date: 2022-09-04</p><p>Time: 22:23:00</p><p>Type: Aid Response</p>,Cedar Park
194,F220107509,3rd Ave / Union St,BC Medic Response- 6 per rule,2022-09-04 22:24:00,47.608756,-122.336885,purple,asterisk,<p>Incident: F220107509</p><p>Date: 2022-09-04</p><p>Time: 22:24:00</p><p>Type: BC Medic Response- 6 per rule</p>,Haller Lake
195,F220107511,1400 S DEARBORN ST,Medic Response- Overdose,2022-09-04 22:30:00,47.595817,-122.314084,purple,asterisk,<p>Incident: F220107511</p><p>Date: 2022-09-04</p><p>Time: 22:30:00</p><p>Type: Medic Response- Overdose</p>,Central Business District
196,F220107512,5th Ave / Battery St,Aid Response,2022-09-04 22:40:00,47.616802,-122.344375,red,ambulance,<p>Incident: F220107512</p><p>Date: 2022-09-04</p><p>Time: 22:40:00</p><p>Type: Aid Response</p>,International District
197,F220107513,3615 Phinney Ave N,Aid Response,2022-09-04 22:46:00,47.652336,-122.354475,red,ambulance,<p>Incident: F220107513</p><p>Date: 2022-09-04</p><p>Time: 22:46:00</p><p>Type: Aid Response</p>,Belltown
198,F220107514,534 QUEEN ANNE AVE N,Alarm Bell,2022-09-04 22:47:00,47.623717,-122.356716,purple,asterisk,<p>Incident: F220107514</p><p>Date: 2022-09-04</p><p>Time: 22:47:00</p><p>Type: Alarm Bell</p>,Fremont
199,F220107519,800 Jefferson St,Aid Response,2022-09-04 23:17:00,47.604377,-122.325207,red,ambulance,<p>Incident: F220107519</p><p>Date: 2022-09-04</p><p>Time: 23:17:00</p><p>Type: Aid Response</p>,Lower Queen Anne
200,F220107520,1414 12th Ave,Rescue Elevator,2022-09-04 23:21:00,47.61305,-122.316747,green,building,<p>Incident: F220107520</p><p>Date: 2022-09-04</p><p>Time: 23:21:00</p><p>Type: Rescue Elevator</p>,Yesler Terrace
201,F220107521,2721 4th Ave,Low Acuity Response,2022-09-04 23:22:00,47.617908,-122.34823,purple,asterisk,<p>Incident: F220107521</p><p>Date: 2022-09-04</p><p>Time: 23:22:00</p><p>Type: Low Acuity Response</p>,Broadway
202,F220107522,16th Ave Ne / Ne 123rd St,Aid Response,2022-09-04 23:32:00,47.71759,-122.311269,red,ambulance,<p>Incident: F220107522</p><p>Date: 2022-09-04</p><p>Time: 23:32:00</p><p>Type: Aid Response</p>,Belltown
203,F220107524,105 Warren Ave N,Rescue Elevator,2022-09-04 23:37:00,47.618645,-122.354147,green,building,<p>Incident: F220107524</p><p>Date: 2022-09-04</p><p>Time: 23:37:00</p><p>Type: Rescue Elevator</p>,Victory Heights
204,F220107525,601 Elliott Ave W,Investigate Out Of Service,2022-09-04 23:42:00,47.624603,-122.365693,purple,asterisk,<p>Incident: F220107525</p><p>Date: 2022-09-04</p><p>Time: 23:42:00</p><p>Type: Investigate Out Of Service</p>,Lower Queen Anne
205,F220107526,803 E Denny Way,AFA4 - Auto Alarm 2 + 1 + 1,2022-09-04 23:50:00,47.618733,-122.322146,purple,asterisk,<p>Incident: F220107526</p><p>Date: 2022-09-04</p><p>Time: 23:50:00</p><p>Type: AFA4 - Auto Alarm 2 + 1 + 1</p>,Lower Queen Anne
206,F220107527,510 Minor Ave N,Aid Response,2022-09-04 23:51:00,47.623222,-122.333001,red,ambulance,<p>Incident: F220107527</p><p>Date: 2022-09-04</p><p>Time: 23:51:00</p><p>Type: Aid Response</p>,Broadway
207,F220107528,4328 7th Ave Ne,Water Job Minor,2022-09-04 23:53:00,47.659777,-122.320836,blue,shower,<p>Incident: F220107528</p><p>Date: 2022-09-04</p><p>Time: 23:53:00</p><p>Type: Water Job Minor</p>,South Lake Union
208,F220107529,13000 Linden Ave N,Medic Response,2022-09-04 23:53:00,47.723218,-122.348195,red,ambulance,<p>Incident: F220107529</p><p>Date: 2022-09-04</p><p>Time: 23:53:00</p><p>Type: Medic Response</p>,University District
209,F220107530,1426 Broadway,Aid Response,2022-09-04 23:53:00,47.613247,-122.320767,red,ambulance,<p>Incident: F220107530</p><p>Date: 2022-09-04</p><p>Time: 23:53:00</p><p>Type: Aid Response</p>,Bitter Lake
210,F220107531,6341 4th Ave Ne,4RED - 2 + 1 + 1,2022-09-04 23:53:00,47.674671,-122.324421,purple,asterisk,<p>Incident: F220107531</p><p>Date: 2022-09-04</p><p>Time: 23:53:00</p><p>Type: 4RED - 2 + 1 + 1</p>,First Hill
211,F220107532,705 Pike St,Triaged Incident,2022-09-05 00:02:00,47.61163,-122.333297,red,plus-square,<p>Incident: F220107532</p><p>Date: 2022-09-05</p><p>Time: 00:02:00</p><p>Type: Triaged Incident</p>,Green Lake
212,F220107533,5330 Sw Admiral Way,MVI - Motor Vehicle Incident,2022-09-05 00:12:00,47.578871,-122.400563,green,car,<p>Incident: F220107533</p><p>Date: 2022-09-05</p><p>Time: 00:12:00</p><p>Type: MVI - Motor Vehicle Incident</p>,Central Business District
213,F220107535,1405 24th Ave,Aid Response,2022-09-05 00:16:00,47.612995,-122.301416,red,ambulance,<p>Incident: F220107535</p><p>Date: 2022-09-05</p><p>Time: 00:16:00</p><p>Type: Aid Response</p>,North Admiral
214,F220107536,210 Alaskan Way S,Medic Response,2022-09-05 00:18:00,47.600593,-122.335915,red,ambulance,<p>Incident: F220107536</p><p>Date: 2022-09-05</p><p>Time: 00:18:00</p><p>Type: Medic Response</p>,Mann
215,F220107537,710 Cherry St,Aid Response,2022-09-05 00:19:00,47.605387,-122.327511,red,ambulance,<p>Incident: F220107537</p><p>Date: 2022-09-05</p><p>Time: 00:19:00</p><p>Type: Aid Response</p>,Pioneer Square
216,F220107538,1520 Melrose Ave,Nurseline/AMR,2022-09-05 00:21:00,47.614174,-122.327923,green,user-md,<p>Incident: F220107538</p><p>Date: 2022-09-05</p><p>Time: 00:21:00</p><p>Type: Nurseline/AMR</p>,First Hill
217,F220107539,607 3rd Ave,Aid Response,2022-09-05 00:23:00,47.602813,-122.331449,red,ambulance,<p>Incident: F220107539</p><p>Date: 2022-09-05</p><p>Time: 00:23:00</p><p>Type: Aid Response</p>,Broadway
218,F220107542,2209 1st Ave,Aid Response,2022-09-05 00:39:00,47.612669,-122.345319,red,ambulance,<p>Incident: F220107542</p><p>Date: 2022-09-05</p><p>Time: 00:39:00</p><p>Type: Aid Response</p>,Pioneer Square
219,F220107543,13th Ave / E Pine St,Aid Response,2022-09-05 00:52:00,47.615273,-122.315549,red,ambulance,<p>Incident: F220107543</p><p>Date: 2022-09-05</p><p>Time: 00:52:00</p><p>Type: Aid Response</p>,Belltown
220,F220107544,1501 Nw 56th St,1RED 1 Unit,2022-09-05 01:00:00,47.669442,-122.376214,purple,asterisk,<p>Incident: F220107544</p><p>Date: 2022-09-05</p><p>Time: 01:00:00</p><p>Type: 1RED 1 Unit</p>,Broadway
221,F220107545,1816 Bellevue Ave,Aid Response,2022-09-05 01:11:00,47.617855,-122.326761,red,ambulance,<p>Incident: F220107545</p><p>Date: 2022-09-05</p><p>Time: 01:11:00</p><p>Type: Aid Response</p>,West Woodland
222,F220107546,9428 Ravenna Ave Ne,Brush Fire,2022-09-05 01:20:00,47.697161,-122.305054,purple,asterisk,<p>Incident: F220107546</p><p>Date: 2022-09-05</p><p>Time: 01:20:00</p><p>Type: Brush Fire</p>,Broadway
223,F220107547,4062 Letitia Ave S,1RED 1 Unit,2022-09-05 01:22:00,47.566816,-122.289889,purple,asterisk,<p>Incident: F220107547</p><p>Date: 2022-09-05</p><p>Time: 01:22:00</p><p>Type: 1RED 1 Unit</p>,Wedgwood
224,F220107548,1215 Ne 124th St,Aid Response,2022-09-05 01:28:00,47.718453,-122.315265,red,ambulance,<p>Incident: F220107548</p><p>Date: 2022-09-05</p><p>Time: 01:28:00</p><p>Type: Aid Response</p>,Columbia City
225,F220107549,2nd Ave / Pine St,Aid Response,2022-09-05 01:33:00,47.610278,-122.339812,red,ambulance,<p>Incident: F220107549</p><p>Date: 2022-09-05</p><p>Time: 01:33:00</p><p>Type: Aid Response</p>,Pinehurst
